iter	Passed	Remaining
0	1	107
1	2	99
2	2	93
3	3	83
4	4	84
5	5	83
6	6	83
7	7	83
8	8	82
9	9	81
10	9	79
11	10	77
12	11	76
13	12	75
14	13	75
15	14	75
16	15	74
17	16	73
18	17	72
19	17	71
20	18	69
21	19	69
22	20	68
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	63
29	27	63
30	28	62
31	29	61
32	29	60
33	30	59
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	60	28
68	61	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	80	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
